Date,Term,Rate
2013-01-14,365,0.000204099
2013-01-14,395,0.000233052
2013-01-14,425,0.000264134
2013-01-14,456,0.000294654
2013-01-14,486,0.000319923
2013-01-14,516,0.0003393
2013-01-14,547,0.000352496
2013-01-14,577,0.000360181
2013-01-14,607,0.000369078
2013-01-14,638,0.000392352
2013-01-14,668,0.000415294
2013-01-14,698,0.000435683
2013-01-14,730,0.000461058
2013-01-14,1095,0.000994381
2013-01-14,1460,0.001937171
2013-01-14,1825,0.003890639
2013-01-14,2190,0.006169629
2013-01-14,2555,0.008643603
2013-01-14,2920,0.010292117
2013-01-14,3285,0.011320483
2013-01-14,3650,0.011873754
2013-01-14,4380,0.012269564
2013-01-14,5475,0.01193913
2013-01-14,7300,0.010211314
2013-01-14,9125,0.008343732
2013-01-14,10950,0.006615001
2013-01-14,14600,0.006471907
2013-01-14,18250,0.007394591
2013-01-15,0,0.001442567
2013-01-15,1,0.001356869
2013-01-15,2,0.001363338
2013-01-15,7,0.001649247
2013-01-15,14,0.001421298
2013-01-15,30,0.001211659
2013-01-15,61,0.000766619
2013-01-15,91,0.000395354
2013-01-15,122,0.000175182
2013-01-15,152,7.81E-05
2013-01-15,182,6.26238E-05
2013-01-15,213,9.39921E-05
2013-01-15,243,0.000118324
2013-01-15,273,0.00014986
2013-01-15,304,0.000197288
2013-01-15,335,0.000164508
2013-01-15,365,0.000208468
2013-01-15,395,0.000210607
2013-01-15,425,0.000226929
2013-01-15,456,0.000253037
2013-01-15,486,0.00028466
2013-01-15,516,0.000320233
2013-01-15,547,0.000359986
2013-01-15,577,0.000397867
2013-01-15,607,0.000428646
2013-01-15,638,0.000455637
2013-01-15,668,0.000482941
2013-01-15,698,0.000504219
2013-01-15,730,0.000523751
2013-01-15,1095,0.000917119
2013-01-15,1460,0.001926068
2013-01-15,1825,0.003830067
2013-01-15,2190,0.006121172
2013-01-15,2555,0.008607147
2013-01-15,2920,0.010157101
2013-01-15,3285,0.011359028
2013-01-15,3650,0.011835299
2013-01-15,4380,0.012183391
2013-01-15,5475,0.011859161
2013-01-15,7300,0.010234222
2013-01-15,9125,0.008373907
2013-01-15,10950,0.006655625
2013-01-15,14600,0.006453642
2013-01-15,18250,0.007516331
2013-01-16,0,0.001502418
2013-01-16,1,0.001523539
2013-01-16,2,0.00155191
2013-01-16,7,0.001608125
2013-01-16,14,0.001440552
2013-01-16,30,0.001130201
2013-01-16,61,0.000675181
2013-01-16,91,0.000308453
2013-01-16,122,7.34752E-05
2013-01-16,152,-3.10873E-05
2013-01-16,182,-5.54738E-05
2013-01-16,213,-3.37348E-05
2013-01-16,243,7.41172E-05
2013-01-16,273,0.000187689
2013-01-16,304,0.000161662
2013-01-16,335,0.000163407
2013-01-16,365,0.000122819
2013-01-16,395,0.000146699
2013-01-16,425,0.000182423
2013-01-16,456,0.000227159
2013-01-16,486,0.000274432
2013-01-16,516,0.000323427
2013-01-16,547,0.00037445
2013-01-16,577,0.000419478
2013-01-16,607,0.000452836
2013-01-16,638,0.000485574
2013-01-16,668,0.000511125
2013-01-16,698,0.000529332
2013-01-16,730,0.000537802
2013-01-16,1095,0.000869411
2013-01-16,1460,0.001856642
2013-01-16,1825,0.003787776
2013-01-16,2190,0.006052364
2013-01-16,2555,0.008535695
2013-01-16,2920,0.010101953
2013-01-16,3285,0.011141337
2013-01-16,3650,0.011738571
2013-01-16,4380,0.012141409
2013-01-16,5475,0.011805092
2013-01-16,7300,0.010165484
2013-01-16,9125,0.008402729
2013-01-16,10950,0.006641106
2013-01-16,14600,0.006437685
2013-01-16,18250,0.007498324
2013-01-17,0,0.001450522
2013-01-17,1,0.001385147
2013-01-17,2,0.001295688
2013-01-17,7,0.001586785
2013-01-17,14,0.00167073
2013-01-17,30,0.00124007
2013-01-17,61,0.000756088
2013-01-17,91,0.000381428
2013-01-17,122,0.000158838
2013-01-17,152,6.22481E-05
2013-01-17,182,4.72241E-05
2013-01-17,213,8.05001E-05
2013-01-17,243,0.00016275
2013-01-17,273,0.000234138
2013-01-17,304,0.000253022
2013-01-17,335,0.00021403
2013-01-17,365,0.000188814
2013-01-17,395,0.000224471
2013-01-17,425,0.000263699
2013-01-17,456,0.000303955
2013-01-17,486,0.000339736
2013-01-17,516,0.000371001
2013-01-17,547,0.000398042
2013-01-17,577,0.0004192
2013-01-17,607,0.00043663
2013-01-17,638,0.000457518
2013-01-17,668,0.000480933
2013-01-17,698,0.000502312
2013-01-17,730,0.000519836
2013-01-17,1095,0.000977845
2013-01-17,1460,0.001905414
2013-01-17,1825,0.003869301
2013-01-17,2190,0.006197201
2013-01-17,2555,0.008641184
2013-01-17,2920,0.010311661
2013-01-17,3285,0.011413778
2013-01-17,3650,0.01189707
2013-01-17,4380,0.012307137
2013-01-17,5475,0.011936721
2013-01-17,7300,0.010423451
2013-01-17,9125,0.008549022
2013-01-17,10950,0.006718706
2013-01-17,14600,0.006520971
2013-01-17,18250,0.007738384
2013-01-18,0,0.001478389
2013-01-18,1,0.001415156
2013-01-18,2,0.001326018
2013-01-18,7,0.001586406
2013-01-18,14,0.001654315
2013-01-18,30,0.001261604
2013-01-18,61,0.000743619
2013-01-18,91,0.000338937
2013-01-18,122,8.25212E-05
2013-01-18,152,-4.30493E-05
2013-01-18,182,-8.86251E-05
2013-01-18,213,-5.85481E-05
2013-01-18,243,0.000118545
2013-01-18,273,0.000398179
2013-01-18,304,0.000172064
2013-01-18,335,0.000187571
2013-01-18,365,0.000140216
2013-01-18,395,0.00017649
2013-01-18,425,0.000222924
2013-01-18,456,0.000275189
2013-01-18,486,0.00032626
2013-01-18,516,0.00037532
2013-01-18,547,0.000422447
2013-01-18,577,0.000461234
2013-01-18,607,0.000491793
2013-01-18,638,0.00053333
2013-01-18,668,0.000562999
2013-01-18,698,0.000582173
2013-01-18,730,0.000591985
2013-01-18,1095,0.000930116
2013-01-18,1460,0.001936855
2013-01-18,1825,0.003848603
2013-01-18,2190,0.006131704
2013-01-18,2555,0.008594709
2013-01-18,2920,0.010209978
2013-01-18,3285,0.011355909
2013-01-18,3650,0.011731553
2013-01-18,4380,0.012274944
2013-01-18,5475,0.01188305
2013-01-18,7300,0.010431057
2013-01-18,9125,0.008559894
2013-01-18,10950,0.006710158
2013-01-18,14600,0.006500852
2013-01-18,18250,0.007736635
2013-01-21,0,0.001436506
2013-01-21,1,0.001280886
2013-01-21,2,0.001289035
2013-01-21,7,0.001637743
2013-01-21,14,0.001495711
2013-01-21,30,0.001246673
2013-01-21,61,0.000753746
2013-01-21,91,0.000355084
2013-01-21,122,0.000100164
2013-01-21,152,-2.46307E-05
2013-01-21,182,-6.95112E-05
2013-01-21,213,-5.20683E-05
2013-01-21,243,0.000147955
2013-01-21,273,0.000443876
2013-01-21,304,0.000221736
2013-01-21,335,0.00022322
2013-01-21,365,0.000205828
2013-01-21,395,0.000249229
2013-01-21,425,0.000292741
2013-01-21,456,0.00033252
2013-01-21,486,0.00036314
2013-01-21,516,0.000384229
2013-01-21,547,0.000395297
2013-01-21,577,0.000398726
2013-01-21,607,0.000407684
2013-01-21,638,0.000442564
2013-01-21,668,0.000480524
2013-01-21,698,0.000519042
2013-01-21,730,0.000562259
2013-01-21,1095,0.000983137
2013-01-21,1460,0.001948761
2013-01-21,1825,0.003923205
2013-01-21,2190,0.006245774
2013-01-21,2555,0.008758053
2013-01-21,2920,0.010264915
2013-01-21,3285,0.011430329
2013-01-21,3650,0.011880114
2013-01-21,4380,0.012368352
2013-01-21,5475,0.012004731
2013-01-21,7300,0.010462273
2013-01-21,9125,0.008614488
2013-01-21,10950,0.006928948
2013-01-21,14600,0.006424245
2013-01-21,18250,0.008124675
2013-01-22,0,0.001447767
2013-01-22,1,0.001363732
2013-01-22,2,0.001367968
2013-01-22,7,0.001655373
2013-01-22,14,0.00143728
2013-01-22,30,0.001224344
2013-01-22,61,0.000770006
2013-01-22,91,0.000393296
2013-01-22,122,0.000166951
2013-01-22,152,6.47579E-05
2013-01-22,182,4.35228E-05
2013-01-22,213,7.20929E-05
2013-01-22,243,0.000163413
2013-01-22,273,0.000229229
2013-01-22,304,0.000221589
2013-01-22,335,0.000211458
2013-01-22,365,0.000211203
2013-01-22,395,0.000214822
2013-01-22,425,0.000235484
2013-01-22,456,0.000269265
2013-01-22,486,0.000310607
2013-01-22,516,0.000357869
2013-01-22,547,0.000411285
2013-01-22,577,0.000461579
2013-01-22,607,0.000500743
2013-01-22,638,0.000537288
2013-01-22,668,0.000567442
2013-01-22,698,0.000588983
2013-01-22,730,0.000603416
2013-01-22,1095,0.000930512
2013-01-22,1460,0.001936
2013-01-22,1825,0.003853596
2013-01-22,2190,0.00615756
2013-01-22,2555,0.00862145
2013-01-22,2920,0.010130005
2013-01-22,3285,0.011314466
2013-01-22,3650,0.011854722
2013-01-22,4380,0.012353408
2013-01-22,5475,0.011997628
2013-01-22,7300,0.010486965
2013-01-22,9125,0.008632449
2013-01-22,10950,0.006941565
2013-01-22,14600,0.006507618
2013-01-22,18250,0.007940346
2013-01-23,0,0.001475611
2013-01-23,1,0.001430654
2013-01-23,2,0.001363699
2013-01-23,7,0.001106576
2013-01-23,14,0.001047713
2013-01-23,30,0.001160567
2013-01-23,61,0.000686674
2013-01-23,91,0.000337478
2013-01-23,122,9.14735E-05
2013-01-23,152,-2.02126E-05
2013-01-23,182,-5.41005E-05
2013-01-23,213,-4.2016E-05
2013-01-23,243,8.48519E-05
2013-01-23,273,0.000171166
2013-01-23,304,8.35635E-05
2013-01-23,335,0.000139526
2013-01-23,365,0.000182925
2013-01-23,395,0.000182928
2013-01-23,425,0.000196444
2013-01-23,456,0.000219113
2013-01-23,486,0.000246698
2013-01-23,516,0.00027718
2013-01-23,547,0.000310303
2013-01-23,577,0.000341827
2013-01-23,607,0.000371397
2013-01-23,638,0.000410984
2013-01-23,668,0.000448104
2013-01-23,698,0.000484013
2013-01-23,730,0.00052598
2013-01-23,1095,0.000954028
2013-01-23,1460,0.001920444
2013-01-23,1825,0.003798138
2013-01-23,2190,0.006043979
2013-01-23,2555,0.008487572
2013-01-23,2920,0.01002752
2013-01-23,3285,0.01126829
2013-01-23,3650,0.011707893
2013-01-23,4380,0.012229694
2013-01-23,5475,0.01193756
2013-01-23,7300,0.010440324
2013-01-23,9125,0.008595606
2013-01-23,10950,0.006833559
2013-01-23,14600,0.006467543
2013-01-23,18250,0.007858611
2013-01-24,0,0.001454666
2013-01-24,1,0.001390634
2013-01-24,2,0.001303125
2013-01-24,7,0.001572191
2013-01-24,14,0.001461882
2013-01-24,30,0.001169548
2013-01-24,61,0.000665652
2013-01-24,91,0.000284862
2013-01-24,122,5.63155E-05
2013-01-24,152,-4.63858E-05
2013-01-24,182,-6.78666E-05
2013-01-24,213,-4.18313E-05
2013-01-24,243,2.44333E-05
2013-01-24,273,5.31339E-05
2013-01-24,304,3.64313E-05
2013-01-24,335,0.00010275
2013-01-24,365,0.00020128
2013-01-24,395,0.000177369
2013-01-24,425,0.000184261
2013-01-24,456,0.000213354
2013-01-24,486,0.000260436
2013-01-24,516,0.000322295
2013-01-24,547,0.000399337
2013-01-24,577,0.000475054
2013-01-24,607,0.00053055
2013-01-24,638,0.000572754
2013-01-24,668,0.000598058
2013-01-24,698,0.000607554
2013-01-24,730,0.000611425
2013-01-24,1095,0.000936918
2013-01-24,1460,0.001959224
2013-01-24,1825,0.003857488
2013-01-24,2190,0.006119192
2013-01-24,2555,0.008564873
2013-01-24,2920,0.010235624
2013-01-24,3285,0.011364541
2013-01-24,3650,0.011739101
2013-01-24,4380,0.012249249
2013-01-24,5475,0.012085729
2013-01-24,7300,0.01046446
2013-01-24,9125,0.008656313
2013-01-24,10950,0.006978435
2013-01-24,14600,0.006713604
2013-01-24,18250,0.007631582
2013-01-25,0,0.001452615
2013-01-25,1,0.001392355
2013-01-25,2,0.001317576
2013-01-25,7,0.001436204
2013-01-25,14,0.001466951
2013-01-25,30,0.001161982
2013-01-25,61,0.000781606
2013-01-25,91,0.000417742
2013-01-25,122,0.000200835
2013-01-25,152,0.000106923
2013-01-25,182,9.39237E-05
2013-01-25,213,0.000128051
2013-01-25,243,0.000155206
2013-01-25,273,0.000156932
2013-01-25,304,0.000174648
2013-01-25,335,0.000158688
2013-01-25,365,0.000196013
2013-01-25,395,0.000220213
2013-01-25,425,0.00024958
2013-01-25,456,0.000281429
2013-01-25,486,0.000311281
2013-01-25,516,0.000338611
2013-01-25,547,0.000363742
2013-01-25,577,0.000386219
2013-01-25,607,0.000409349
2013-01-25,638,0.000435534
2013-01-25,668,0.000465644
2013-01-25,698,0.000495798
2013-01-25,730,0.000529823
2013-01-25,1095,0.001002286
2013-01-25,1460,0.002004884
2013-01-25,1825,0.003904926
2013-01-25,2190,0.006208312
2013-01-25,2555,0.008799703
2013-01-25,2920,0.01037302
2013-01-25,3285,0.011528054
2013-01-25,3650,0.01198119
2013-01-25,4380,0.012405081
2013-01-25,5475,0.012167696
2013-01-25,7300,0.010561317
2013-01-25,9125,0.008690455
2013-01-25,10950,0.00704268
2013-01-25,14600,0.006527145
2013-01-25,18250,0.008063314
2013-01-28,0,0.001393347
2013-01-28,1,0.001255223
2013-01-28,2,0.001204945
2013-01-28,7,0.001265536
2013-01-28,14,0.00128484
2013-01-28,30,0.001144454
