Date,Term,0
2005-06-14,2555,2.873
2005-06-14,2920,2.987
2005-06-14,3285,3.09
2005-06-15,30,2.08
2005-06-15,61,2.0785
2005-06-15,91,2.075
2005-06-15,122,2.072
2005-06-15,152,2.0677
2005-06-15,182,2.0638
2005-06-15,213,2.064
2005-06-15,243,2.0595
2005-06-15,273,2.059
2005-06-15,304,2.0608
2005-06-15,335,2.064
2005-06-15,365,2.0743
2005-06-15,547,2.1284
2005-06-15,730,2.2151
2005-06-15,1095,2.388
2005-06-15,2190,2.8510000000000004
2005-06-15,2555,2.986
2005-06-15,2920,3.102
2005-06-15,3285,3.207
2005-06-16,30,2.0775
2005-06-16,61,2.0765
2005-06-16,91,2.076
2005-06-16,122,2.0715
2005-06-16,152,2.0669999999999997
2005-06-16,182,2.063
2005-06-16,213,2.062
2005-06-16,243,2.0585
2005-06-16,273,2.0563
2005-06-16,304,2.0633
2005-06-16,335,2.0618
2005-06-16,365,2.07
2005-06-16,547,2.12
2005-06-16,730,2.21
2005-06-16,1095,2.385
2005-06-16,2190,2.839
2005-06-16,2555,2.971
2005-06-16,2920,3.088
2005-06-16,3285,3.1910000000000003
2005-06-17,30,2.076
2005-06-17,61,2.0755
2005-06-17,91,2.0745
2005-06-17,122,2.0715
2005-06-17,152,2.0685
2005-06-17,182,2.064
2005-06-17,213,2.0635
2005-06-17,243,2.0605
2005-06-17,273,2.0595
2005-06-17,304,2.0615
2005-06-17,335,2.0665
2005-06-17,365,2.0735
2005-06-17,547,2.1262
2005-06-17,730,2.2125
2005-06-17,1095,2.388
2005-06-17,2190,2.832
2005-06-17,2555,2.963
2005-06-17,2920,3.0789999999999997
2005-06-17,3285,3.181
2005-06-21,30,2.073
2005-06-21,61,2.064
2005-06-21,91,2.0585
2005-06-21,122,2.0467
2005-06-21,152,2.039
2005-06-21,182,2.0308
2005-06-21,213,2.0255
2005-06-21,243,2.0153
2005-06-21,273,2.0067
2005-06-21,304,2.0018
2005-06-21,335,2.0015
2005-06-21,365,2.003
2005-06-21,547,2.0332
2005-06-21,730,2.1009
2005-06-21,1095,2.272
2005-06-21,2190,2.735
2005-06-21,2555,2.8710000000000004
2005-06-21,2920,2.989
2005-06-21,3285,3.097
2005-06-22,30,2.066
2005-06-22,61,2.063
2005-06-22,91,2.052
2005-06-22,122,2.0380000000000003
2005-06-22,152,2.025
2005-06-22,182,2.011
2005-06-22,213,2.0015
2005-06-22,243,1.989
2005-06-22,273,1.9779
2005-06-22,304,1.9715
2005-06-22,335,1.9709999999999999
2005-06-22,365,1.9687
2005-06-22,547,1.989
2005-06-22,730,2.0569
2005-06-22,1095,2.217
2005-06-22,2190,2.677
2005-06-22,2555,2.807
2005-06-22,2920,2.92
2005-06-22,3285,3.0260000000000002
2005-06-24,30,2.074
2005-06-24,61,2.0695
2005-06-24,91,2.0615
2005-06-24,122,2.0535
2005-06-24,152,2.0369
2005-06-24,182,2.0295
2005-06-24,213,2.0195
2005-06-24,243,2.0083
2005-06-24,273,1.9985
2005-06-24,304,1.9915
2005-06-24,335,1.9868
2005-06-24,365,1.9875
2005-06-24,547,2.005
2005-06-24,730,2.079
2005-06-24,1095,2.234
2005-06-24,2190,2.6719999999999997
2005-06-24,2555,2.805
2005-06-24,2920,2.9210000000000003
2005-06-24,3285,3.025
2005-06-27,30,2.074
2005-06-27,61,2.072
2005-06-27,91,2.0635
2005-06-27,122,2.053
